1 2 3
1 6 1
2 3 17
2 5 3
2 6 1
2 23 5
3 4 4
3 5 3
3 22 1
4 5 10
5 6 3
6 7 4
6 8 1
6 9 9
6 16 2
7 9 5
7 16 6
7 22 2
8 9 9
8 10 2
8 12 2
8 14 3
8 15 1
8 17 2
8 19 2
8 21 6
9 10 1
9 13 1
9 20 2
10 11 2
10 13 3
12 13 9
12 14 1
12 19 1
12 20 1
12 21 3
12 27 2
12 52 2
13 14 8
13 15 1
13 18 4
13 19 7
13 20 2
13 25 2
13 26 8
13 27 5
13 32 2
13 34 5
13 35 1
14 15 5
14 17 4
14 23 2
14 27 3
14 32 2
14 33 2
14 34 11
14 41 1
14 42 1
14 51 2
14 65 2
15 16 6
16 17 7
16 22 1
17 18 5
17 19 2
17 21 1
17 22 2
17 25 1
17 27 2
17 28 1
17 31 1
18 19 12
18 23 1
18 24 1
18 25 3
18 27 1
18 28 4
18 29 8
18 31 1
18 32 2
18 41 14
19 20 2
19 21 5
19 22 1
19 26 1
19 27 6
19 28 6
19 34 2
20 21 15
20 22 1
21 22 5
21 27 2
21 28 6
22 23 13
22 29 2
23 24 4
24 25 12
24 30 7
24 39 4
24 41 4
25 26 7
25 30 7
25 31 4
25 32 1
25 38 4
25 39 12
25 41 6
26 27 2
26 28 8
26 31 5
26 32 18
26 33 8
26 38 1
27 28 9
27 31 5
27 34 1
27 35 2
27 38 1
28 29 2
28 31 3
28 32 2
29 30 16
29 31 3
30 31 5
30 32 8
31 32 10
32 33 1
32 37 2
32 38 7
33 34 19
33 35 4
33 36 1
33 37 7
33 38 2
33 47 9
33 48 2
33 65 2
34 35 20
34 47 2
34 48 20
34 52 2
35 36 1
35 37 1
35 47 3
35 48 19
36 37 14
36 46 1
36 47 1
36 48 6
36 63 10
37 38 8
37 46 7
37 47 20
37 48 13
37 63 11
37 65 3
38 39 22
38 40 2
38 41 2
38 42 1
38 47 1
38 64 7
38 65 14
39 40 26
39 41 9
39 42 10
39 64 1
39 65 3
40 41 1
40 42 17
40 43 2
40 64 2
40 65 3
41 42 9
41 65 1
42 43 8
42 64 5
42 65 10
43 44 2
43 57 4
43 58 6
43 59 19
43 60 10
43 64 1
43 67 4
44 45 1
44 48 4
44 49 15
44 50 1
44 59 3
44 60 16
44 61 6
44 62 5
44 67 6
45 46 19
45 47 2
45 59 4
45 60 4
45 61 12
45 62 3
45 64 12
46 47 9
46 48 3
46 50 2
46 61 4
46 62 4
46 63 6
46 64 8
47 48 9
47 63 6
47 64 4
48 50 1
48 62 1
48 63 7
48 64 2
49 50 4
49 53 2
49 54 21
49 55 2
49 62 15
49 67 13
49 68 21
49 71 1
49 73 1
50 51 8
50 52 4
50 53 4
50 54 3
50 60 1
50 61 4
50 62 5
50 63 9
50 65 1
50 66 1
50 68 6
50 70 5
50 74 19
51 52 19
51 53 1
51 66 4
52 53 8
52 65 2
53 54 2
53 62 1
53 63 8
53 70 2
53 74 16
53 75 4
54 55 4
54 56 1
54 57 3
54 62 6
54 63 2
54 68 12
54 72 1
54 73 5
55 56 9
55 57 4
55 62 4
55 72 5
55 73 4
56 57 11
56 62 1
56 73 12
57 58 13
57 67 11
57 68 5
57 72 3
57 73 12
58 59 1
58 67 24
59 60 24
59 61 2
60 61 24
60 67 5
60 68 1
60 69 3
61 62 12
61 63 5
61 68 1
62 63 7
62 64 1
62 71 2
62 72 2
63 64 1
63 65 1
63 74 8
64 65 23
65 66 8
66 67 2
66 68 4
66 69 9
66 73 12
67 68 17
68 69 17
68 70 1
68 71 2
68 72 1
68 73 2
69 70 8
69 71 14
69 72 5
69 73 18
69 74 8
70 71 18
70 72 7
70 73 6
70 74 7
70 75 6
71 72 29
71 73 6
71 74 8
71 75 3
72 73 7
72 75 4
73 74 3
74 75 5
