9957 114124
10006 114571
10019 114790
11425 114901
13073 114810
13105 114869
18016 32046
18016 32046
36557 33339
36686 33628
36718 33401
36754 33265
36838 33312
36838 33312
36851 33099
36855 33300
37088 33610
37297 33618
37297 33618
37530 33675
38027 31157
38031 31188
58429 136170
58474 136216
59123 136362
59368 136964
59368 136964
59399 136660
59492 136540
59518 136323
59633 137300
59660 137070
71659 114429
72592 113874
72780 115016
72942 117840
72954 114221
73000 118007
73010 117965
73013 118130
73128 113995
73138 118152
73142 118056
73155 117783
73163 117947
73175 117783
73385 114987
73385 114987
73631 118121
73681 115012
73689 115165
73704 115142
73715 118103
73718 118135
73745 117969
73779 115205
73789 118104
74193 77142
74226 118238
74226 115304
74263 118612
74288 77116
74296 77136
74296 77136
74334 77044
74380 77108
74401 117919
74435 77098
74444 118206
74527 44031
74565 77114
74600 43800
74620 76961
74630 116256
74630 116256
74773 77191
74773 77181
74780 77250
74800 77241
74828 77248
74841 88726
74844 88736
74863 125199
74871 125247
74920 123088
75029 122921
75156 92876
75191 124946
75442 122178
75460 123012
75483 122138
75517 121686
75552 122099
75554 122026
75572 122121
75572 122121
75572 123253
75574 122353
75595 92891
76624 92404
77409 92444
81771 86604
82186 91784
82209 91650
82213 91660
82594 92975
82760 92927
82760 92927
82806 123264
82808 92887
82851 92934
83207 92880
83341 92895
83431 86707
84195 42235
84207 41974
84279 122992
84744 114561
84767 114326
84792 117895
84817 118174
91984 136202
92077 135908
93285 122488
93373 122551
93480 122521
93480 122521
93549 122266
93590 122243
93612 122009
93626 122275
93665 92708
94097 92881
95478 86326
95525 86310
95531 86532
95553 86254
95553 86254
95582 86526
95642 86270
95782 86483
95823 86754
95836 86728
95836 86728
95864 86311
95917 86309
95934 86856
97693 93004
97727 92977
97784 92173
98093 92733
98109 92919
98196 86641
98272 86676
98307 93053
98307 93053
98336 87239
98356 87246
98359 87233
98359 87233
98800 91565
98840 91560
98864 91125
98864 97885
98886 90587
98915 87187
98915 87187
98919 88131
98924 88129
98940 89444
98952 90869
98952 90869
99012 91151
99045 90966
99578 91981
100061 91615
100070 99531
100146 91859
100146 91782
100211 91813
100925 108380
100925 108380
100940 91846
101072 108389
101382 108358
101585 108659
101767 108311
105246 108109
105563 108142
106176 92103
106286 91825
106748 108231
106813 108374
107506 107507
107506 107507
107552 106923
107581 106830
107684 107428
107724 107380
107735 107364
107736 107366
107745 107388
107813 109447
107955 109551
107959 134078
107959 134078
108321 107408
108454 133750
108471 133753
108493 133649
108526 106921
108535 109372
108568 109238
108588 133571
108602 133670
108861 133549
108972 107390
108983 134149
109325 134159
118326 108047
118326 108047
118326 108053
118368 134267
118392 107983
118442 139473
118442 134374
118446 139475
118448 110472
118457 110452
118597 108098
118618 140726
118620 140081
118768 108002
118820 110413
118836 110636
118866 110743
118868 110417
118941 111027
119029 111197
119063 111044
119099 111074
119152 111132
119211 110794
122460 141583
122470 141584
122476 141578
122488 109469
122495 109490
122497 133618
122505 109568
122505 109568
122512 109524
122529 133551
122542 133358
122593 133927
122595 109466
122599 109611
122618 109465
122638 109463
122659 133339
122665 133494
122688 109428
122708 133444
122708 109617
122725 133666
122754 109523
122776 133817
123100 110041
123207 142039
123374 141662
123388 141652
123434 141652
123434 141652
123504 109475
123553 133342
123639 141961
123643 141679
131853 92188
131855 92195
131875 92201
132278 92154
132359 120702
132501 121001
132512 120775
132513 111919
132514 120778
132534 120766
132542 120765
132542 120765
132550 121192
132554 121228
132558 120744
132560 121288
132560 121288
132565 121246
132565 121246
132571 120700
132643 121352
132781 112301
132792 112362
132825 135462
132897 135379
132900 135381
132999 135275
133023 135156
133500 111115
133663 135045
133766 135147
133793 135165
133828 120701
133873 135052
133951 135140
134639 121559
135171 121753
135365 121826
135499 121767
135552 121797
152993 111043
153004 111127
